"3-D MAN/CHARLES CHAN";"3-D MAN"
"TERROR/LASLO PEVELY";TERROR
"TEXAS TWISTER/DREW D";"TEXAS TWISTER"
THANOS;THANOS
THENA;THENA
"THING/BENJAMIN J. GR";THING
"THOR/DR. DONALD BLAK";THOR
"THUNDERBALL/DR. ELIO";THUNDERBALL
THUNDRA;THUNDRA
"TIGER SHARK/TODD ARL";"TIGER SHARK"
"TIMESLIP/RINA PATEL";TIMESLIP
TINKERER;TINKERER
TITANIA/;TITANIA
"TOAD/MORTIMER TOYNBE";TOAD
"TOMBSTONE/LONNIE THO";TOMBSTONE
TRAUMA;TRAUMA
"TRIATHLON/DELROY GAR";TRIATHLON
TRITON;TRITON
TUSK;TUSK
"TWO-GUN KID";"TWO-GUN KID"
"TYGER TIGER/JESSAN H";"TYGER TIGER"
TYGER,LORD;"TYGER TIGER"
"TYPHOID MARY/MARY ME";"TYPHOID MARY"
TYRANNUS;TYRANNUS
"U-GO GIRL/EDIE";"U-GO GIRL"
ULIK;ULIK
ULTIMO;ULTIMO
ULTRON;ULTRON
UMAR;UMAR
"UNICORN/MYLOS MASARY";UNICORN
URICH,BEN;"BEN URICH"
URSULA,LADY;"LADY URSULA"
VAPOR;VAPOR
VARGAS;VARGAS
VECTOR;VECTOR
VEDA;VEDA
"VENOM/EDDIE BROCK";"EDDIE BROCK"
VERMIN,LADY;"LADY VERMIN"
"VIPER/JORDON DIXON";VIPER
"VIVISECTOR/MYLES ALF";VIVISECTOR
"WALLOP/WALTER DESTIN";WALLOP
WARSTAR;WARSTAR
"WASP/JANET VAN DYNE ";WASP
"WATANABE,EMMALINE B";WASP
WATANABE,YUJI;WASP
"WENDIGO/PAUL CARTIER";WENDIGO
"WEREWOLF BY NIGHT/JA";"WEREWOLF BY NIGHT"
WERNER,P.D.Q.;"WEREWOLF BY NIGHT"
WESSEL,HARRY;"WEREWOLF BY NIGHT"
WEST,DALE;"WEREWOLF BY NIGHT"
WESTON,SALLY;"WEREWOLF BY NIGHT"
WESTPHAL,SIMON;"WEREWOLF BY NIGHT"
WETHERELL,MANOLI;"WEREWOLF BY NIGHT"
WEYING,ANN;"WEREWOLF BY NIGHT"
"WHIRLWIND/DAVID CANN";WHIRLWIND
WHITMAN,DEBRA;"DEBRA WHITMAN"
"WILD CHILD/KYLE GIBN";"WILD CHILD"
WILDSIDE;WILDSIDE
WING,COLLEEN;"COLLEEN WING"
"WOLFSBANE/RAHNE SINC";WOLFSBANE
WOLMAN,GIDEON;WOLFSBANE
"WOLVERINE/LOGAN ";WOLVERINE
"WONDER MAN/SIMON WIL";"WONDER MAN"
WONG;WONG
WOO,JIMMY;"JIMMY WOO"
WRAITH;WRAITH
"WRECKER/DR. KARL KOR";WRECKER
"X-CUTIONER/CARL DENT";X-CUTIONER
"X-MAN/NATHAN GREY ";X-MAN
YASHIDA,MARIKO;"MARIKO YASHIDA"
"YELLOW CLAW/TZING JA";"YELLOW CLAW"
ZALADANE;ZALADANE
"ZARAN/MAXIMILLIAN ZA";ZARAN
"ZEMO/BARON HEINRICH ";ZEMO
"ZODIAK/NORMAN HARRIS";ZODIAK
ZOLA,ARNIM;ZODIAK
"ZOLA,ARNIM II";ZODIAK
ZURAS;ZURAS
ZZZAX;ZZZAX
