"3-D MAN/CHARLES CHAN";"3-D MAN"
DAHN,FARNOQ;DAGGER
"DAREDEVIL/MATT MURDO";DAREDEVIL
"DARK BEAST/HENRY MCC";"DARK BEAST"
"DARKHAWK/CHRIS POWEL";DARKHAWK
"DARKSTAR/LAYNIA SERG";DARKSTAR
"DAZZLER/BURTRAM WORT";DAZZLER
"DEADPOOL/JACK/WADE W";DEADPOOL
DEAN,BETTY;DEADPOOL
DEAN,DARBY;DEADPOOL
DEAN,SUSAN;DEADPOOL
DEANGELO,DEVLIN;DEADPOOL
DEATH;DEATH
"DEATHLOK/COLONEL LUT";DEATHLOK
DEMOGOBLIN;DEMOGOBLIN
DESTINE,ADAM;"ADAM DESTINE"
DESTINE,NEWTON;"NEWTON DESTINE"
"DESTINY/PAUL DESTINE";DESTINY
"DIABLO/ESTEBAN DE AB";DIABLO
"DOC SAMSON/DR. LEONA";"DOC SAMSON"
DOCKERY,RUPERT;"DOC SAMSON"
DOMINO;DOMINO
"DOOMSDAY MAN";"DOOMSDAY MAN"
DOOP;DOOP
DOORMAN;DOORMAN
DORMAMMU;DORMAMMU
"DRACULA/VLAD TEPES";DRACULA
DRAGO,VALERIE;DRACULA
"DRAGON MAN";"DRAGON MAN"
"DRAX/ARTHUR DOUGLAS";DRAX
"DREAMING CELESTIAL/T";"DREAMING CELESTIAL"
DREYFUSS,RACHEL;"DREAMING CELESTIAL"
DRISCOLL,MAYOR;"DREAMING CELESTIAL"
DRUIG;DRUIG
EARTHQUAKE;EARTHQUAKE
"ECHO/MAYA LOPEZ";ECHO
EGO;EGO
"ELECTRO/MAX DILLON";ELECTRO
"ELEKTRA/ELEKTRA NATC";ELEKTRA
ELITE/;ELITE
ELLENTHORPE,MARIAH;ELITE
ELLIS,KEN;"KEN ELLIS"
"EMPATH/MANUEL ALFONS";EMPATH
"EMPLATE/MARIUS ST. C";EMPLATE
EPOCH;EPOCH
"ETERNITY/ADAM QADMON";ETERNITY
"EXODUS/BENNET DUPARI";EXODUS
"EXPEDITER/JOHN WRAIT";EXPEDITER
"FALCON/SAM WILSON";FALCON
"FAMINE/AUTUMN ROLFSO";FAMINE
FENRIS;FENRIS
"FERAL/MARIA CALLASAN";FERAL
FERGUSON,ISABEL;FERAL
"FIN FANG FOOM/MIDGAR";"FIN FANG FOOM"
"FIRE EATER/TOMAS";TOMAS
"FIREBIRD/BONITA JUAR";FIREBIRD
"FIREBRAND/GARY GILBE";FIREBRAND
"FIRELORD/PYREUS KRIL";FIRELORD
"FIRESTAR/ANGELICA JO";FIRESTAR
FLATMAN;FLATMAN
"FLYING DUTCHMAN";"FLYING DUTCHMAN"
FOREARM;FOREARM
FORGE;FORGE
"FORGOTTEN ONE/GILGAM";"FORGOTTEN ONE"
FROST,DEACON;"DEACON FROST"
FUJIKAWA,RUMIKO;"RUMIKO FUJIKAWA"
GALACTUS/GALAN;GALACTUS
"GAMBIT/REMY LEBEAU ";GAMBIT
GAMBLE,GRACIE;GAMBIT
GAMBONNO,ERNESTO;GAMBIT
GAMBONNO,LUIGI;GAMBIT
GAMORA;GAMORA
"GARGOYLE/IGOR DRENKO";GARGOYLE
GATEWAY;GATEWAY
"GEE/ALEX POWER";"ALEX POWER"
"GEIGER/DELILAH DEEDE";GEIGER
"GENESIS/TYLER DAYSPR";GENESIS
GIDEON;GIDEON
"GLORIAN/THOMAS GIDEO";GLORIAN
"GRANDMASTER/EN DWI G";GRANDMASTER
"GREY GARGOYLE/PAUL P";"GREY GARGOYLE"
"GRIM REAPER/ERIC WIL";"GRIM REAPER"
"GRIMM,BEN | EARTH-A";"GRIM REAPER"
"GRIMM,BEN | MUTANT ";"GRIM REAPER"
