4EX;4 (EARTH X)
ASM:SH;AMAZING SPIDER-MAN: SOUL OF THE HUNTER
ASM:SHWEEN;AMAZING SPIDER-MAN: SHORT HALLOWEEN
ASM:SWING;AMAZING SPIDER-MAN: SWING SHIFT
ASME;AMAZING SPIDER-MAN EXTRA
ASMF;AMAZING SPIDER-MAN FAMILY
ASMP:ANTIV;AMAZING SPIDER-MAN PRESENTS: ANTI-VENOM
ASMP:ASON;AMAZING SPIDER-MAN PRESENTS: AMERICAN SON
ASMP:JPOT;AMAZING SPIDER-MAN PRESENTS: JACKPOT
ASOLO;AVENGERS SOLO
ASPOT;AVENGERS SPOTLIGHT
ASTON;ASTONISHING
ASTONSM&W;ASTONISHING SPIDER-MAN & WOLVERINE
ASTONT;ASTONISHING THOR
ASTONX;ASTONISHING X-MEN
ASTONX2;ASTONISHING X-MEN VOL. 2
ASTONX3;ASTONISHING X-MEN VOL. 3
ASTONX:X;ASTONISHING X-MEN: XENOGENESIS
ASTRIKE;AVENGERS STRIKE FILE
AT;ASTONISHING TALES
AT2;ASTONISHING TALES VOL. 2
AT:FORTUNE;ASTONISHING TALES: DOMINIC FORTUNE
ATCRIMEC;ALL TRUE CRIME CASES
ATLAS;ATLAS
ATWO:WM&BEAST;AVENGERS TWO: WONDER MAN & BEAST
AUP;AVENGERS UNPLUGGED
AV.ATLAS;AVENGERS VS. ATLAS
AV:CS;AVATAARS: COVENANT OF THE SHIELD
AVENGSM;AVENGING SPIDER-MAN
AVX;AVENGERS VS. X-MEN
AVX:C;AVX: CONSEQUENCES
AVXVS;AVX VS.
AWC;AVENGERS WEST COAST
AX;AMAZING X-MEN
AX2;AMAZING X-MEN VOL. 2
B&BEAST;BEAUTY & BEAST
B-S;B-SIDES
BALLISTIC/W;BALLISTIC/WOLVERINE
BAXE;BLACK AXE
BCAT;BLACK CAT
BCAT2;BLACK CAT VOL. 2
BDOOM;BOOKS OF DOOM
BEAST;BEAST
BEASTS;BEASTS
BEYOND;BEYOND!
BFDPB;BABY'S FIRST DEADPOOL BOOK
BFF:BGRIMM&L;BEFORE THE FANTASTIC FOUR: BEN GRIMM & LOGAN
BFF:REED;BEFORE THE FANTASTIC FOUR: REED RICHARDS
BFF:STORMS;BEFORE THE FANTASTIC FOUR: STORMS
BFORCE;BRUTE FORCE
BG;BLACK GOLIATH
BH6;BIG HERO 6
BHOOD;BROTHERHOOD
BICM/W;BREAKING INTO COMICS THE MARVEL WAY
BIZADV;BIZARRE ADVENTURES (MAGAZINE)
BK;BLACK KNIGHT
BK2;BLACK KNIGHT VOL. 2
BK:E;BLACK KNIGHT: EXODUS
BLAZE;BLAZE
BLAZE:LOB;BLAZE: LEGACY OF BLOOD
BLD;BLADE
BLD2;BLADE VOL. 2 (STRANGE TALES IMPRINT)
BLD3;BLADE VOL. 3
BLD4;BLADE VOL. 4 (MAX IMPRINT)
BLD5;BLADE VOL. 5
BLDRB;BALDER THE BRAVE
BLDVH;BLADE THE VAMPIRE-HUNTER
BLINK;BLINK
